,0,1,2,3,4,5,6,7,8,Label
0,114,104,111,113,115,116,117,122,124,0
1,115,105,111,111,112,116,121,119,123,0
2,118,110,111,113,114,109,112,119,124,0
3,115,115,109,111,109,109,110,121,120,0
4,115,116,108,107,107,111,111,113,115,0
5,119,119,101,109,110,110,107,114,113,0
6,98,118,103,103,103,107,112,107,109,0
7,91,116,103,103,101,104,103,101,106,0
8,91,96,112,99,100,97,98,105,101,0
