,0,1,2,3,4,5,6,7,8,Label
0,75,73,71,67,77,78,79,82,85,2
1,69,69,72,67,71,79,79,82,85,2
2,72,71,74,72,72,80,82,86,91,2
3,73,73,77,79,80,83,88,95,101,2
4,77,70,79,79,84,89,91,99,114,2
5,78,80,80,89,91,93,99,106,119,2
6,87,90,81,87,101,105,113,116,124,2
7,84,82,83,93,105,117,124,123,130,2
8,80,83,90,101,110,119,126,128,137,2
